ID,Period,Rain,AccRain,Radn,MaxT,MeanT,MinT,ThermalTime,AccTT,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,NutrientStress,TempStress,WaterStress,Period_Start_Date,Period_End_Date,Period_Start_DOY,Duration,Period_End_DOY
1,1,1.687642270487135,1.687642270487135,12.741463414052637,9.08292677828936,3.755447115688547,-1.572032546912267,3.335674165561864,3.335674165561864,0,0.9898180036638892,357.276132017612,2.6630211878372734,20.30967273965388,1.212582476090338,79044.17071271881,0.3,0.34227932431669117,1,2026-01-01,2026-05-03,1,123,123
1,2,1.2449999996460974,1.2449999996460974,23.931249856948853,22.507500171661377,15.603750109672546,8.700000047683716,9.209091201177404,9.209091201177404,0,12.498462241025901,348.636109037852,149.39073966056944,58.44202868928612,35.7229202365034,79175.52063626063,1,1,1,2026-05-04,2026-05-11,124,8,131
1,3,3.703076863804689,3.703076863804689,20.50307721358079,23.870769354013298,17.68000001173753,11.489230669461763,10.669881916765881,10.669881916765881,138.70846491795643,15.833353940209859,349.65975466654913,79.05664439358046,164.71305060600528,0.4693242866584975,79127.10302552309,0.9999999999999999,1,1,2026-05-12,2026-05-24,132,13,144
1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1,5,3.89121210891189,3.89121210891189,22.197575742548164,27.581818089340672,21.946060628601998,16.310303167863324,14.239635243766076,14.239635243766076,608.6164279622369,18.18084147900899,349.86706932896413,8.631267104226074,215.6278172147631,2.699021394630884e-4,79054.73345549295,0.9999999999999999,1,1,2026-05-25,2026-06-26,145,33,177
1,6,1.190000057220459,1.190000057220459,26.38999938964844,29.489999771118164,25,20.510000228881836,17,17,625.6164279622369,20.895787912495955,319.41312728159954,1.7688573471840974,183.0762523836663,6.749229720505676e-10,78995.54494472551,1,1,1,2026-06-27,2026-06-27,178,1,178
1,7,2.81333335240682,2.81333335240682,23.456666734483505,31.308888965182835,25.751111136542427,20.19333330790202,17.751111136542427,17.751111136542427,785.3764281911187,21.050733560549332,296.753466197023,1.7103866123329223,160.743659802056,1.583254490959824e-10,78980.04989852189,1,1,1,2026-06-28,2026-07-06,179,9,187
1,8,6.301200038194656,6.301200038194656,21.304799957275392,30.057200088500977,25.20300006866455,20.348800048828124,17.20667618991513,17.20667618991513,1215.5433329389969,21.76027304021479,279.6442921538122,1.5915581714339104,101.83973861507604,2.415725026710443e-12,78928.22151922432,1,1,1,2026-07-07,2026-07-31,188,25,212
1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1,10,1.8814285738127572,1.8814285738127572,20.781428745814733,28.422857012067524,22.92714282444545,17.43142863682338,14.974245744461484,14.974245744461484,1320.3630531502274,21.54484550730552,270.7929822889448,1.4733694904927908,69.66500870353555,2.5466460670801497e-15,78884.4197097789,1,1,1,2026-08-01,2026-08-07,213,7,219
1,11,1.6230821927805266,1.6230821927805266,12.062465765704847,17.8426712218621,12.099417820655779,6.356164419449458,8.01381066183088,8.01381066183088,1337.1680534554032,14.657263158911466,250.04802822318118,1.2497449721948113,67.81415979565756,1.66773307976806e-17,79236.40890904164,0.3047945205479452,0.6112426614808921,1,2026-08-08,2026-12-31,220,146,365
2,1,1.186060595777676,1.186060595777676,13.852272723660324,9.344772735892823,3.743257573325977,-1.8582575892408688,3.4679357051129553,3.4679357051129553,0,1.0979621078147483,348.1750540765381,2.7012766505433925,20.4482406896379,0.9854984243022825,79049.87471441741,0.3,0.3407656943115095,1,2026-01-01,2026-05-12,1,132,132
2,2,3.001249946653843,3.001249946653843,19.390000224113464,23.070000171661377,17.05750012397766,11.045000076293945,10.155334774107404,10.155334774107404,0,15.579302681656792,334.80150406948246,135.58975252304364,86.63867613262893,22.589253253097823,79159.0026845945,1,1,1,2026-05-13,2026-05-20,133,8,140
2,3,2.040769235445903,2.040769235445903,21.330769318800705,23.873076952420746,17.644615411758423,11.416153871096098,10.64329763675602,10.64329763675602,138.36286927782828,15.596527266910579,335.69467883291395,70.61115415531093,175.0801282904865,0.2813255252067679,79127.71501122425,0.9999999999999999,1,1,2026-05-21,2026-06-02,141,13,153
2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2,5,4.048333285997312,4.048333285997312,22.41066665649414,29.03333346048991,23.253500080108644,17.473666699727378,15.352351968661237,15.352351968661237,598.9334283376653,19.771781305825204,336.14651449297884,5.784330106733918,221.78656636039025,1.2566737058149907e-4,79034.79558399765,0.9999999999999999,1,1,2026-06-03,2026-07-02,154,30,183
2,6,7.550000190734863,7.550000190734863,23.490000406901043,31.046666463216145,25.62666670481364,20.206666946411133,17.62666670481364,17.62666670481364,651.8134284521062,20.56688087610424,314.108725585084,1.8102646830207538,183.67383199587013,3.025907880274016e-11,78975.39743347236,1,1,1,2026-07-03,2026-07-05,184,3,186
2,7,5.1754543727094475,5.1754543727094475,22.777272744612258,28.65999984741211,23.362727251919832,18.065454656427555,15.373112016008358,15.373112016008358,820.9176606281982,20.51177884498434,313.2844072135923,1.7153724950185398,156.19023226102837,2.2203087202970415e-12,78959.26103583175,1,1,1,2026-07-06,2026-07-16,187,11,197
