ID,Site,Crop,Planting,Genetics,Latitude,Longitude,ID_Loc,Year,Mat,MaxStage,StartDate,PlantingDate_Sim,DTM_Sim,MatDate_Sim,HarvestDate_Sim,EndDate,Result,Rain_1,Rain_2,Rain_3,Rain_4,Rain_5,Rain_6,Rain_7,Rain_8,Rain_9,Rain_10,Rain_11,AccRain_1,AccRain_2,AccRain_3,AccRain_4,AccRain_5,AccRain_6,AccRain_7,AccRain_8,AccRain_9,AccRain_10,AccRain_11,Radn_1,Radn_2,Radn_3,Radn_4,Radn_5,Radn_6,Radn_7,Radn_8,Radn_9,Radn_10,Radn_11,MaxT_1,MaxT_2,MaxT_3,MaxT_4,MaxT_5,MaxT_6,MaxT_7,MaxT_8,MaxT_9,MaxT_10,MaxT_11,MeanT_1,MeanT_2,MeanT_3,MeanT_4,MeanT_5,MeanT_6,MeanT_7,MeanT_8,MeanT_9,MeanT_10,MeanT_11,MinT_1,MinT_2,MinT_3,MinT_4,MinT_5,MinT_6,MinT_7,MinT_8,MinT_9,MinT_10,MinT_11,ThermalTime_1,ThermalTime_2,ThermalTime_3,ThermalTime_4,ThermalTime_5,ThermalTime_6,ThermalTime_7,ThermalTime_8,ThermalTime_9,ThermalTime_10,ThermalTime_11,AccTT_1,AccTT_2,AccTT_3,AccTT_4,AccTT_5,AccTT_6,AccTT_7,AccTT_8,AccTT_9,AccTT_10,AccTT_11,AccEmTT_1,AccEmTT_2,AccEmTT_3,AccEmTT_4,AccEmTT_5,AccEmTT_6,AccEmTT_7,AccEmTT_8,AccEmTT_9,AccEmTT_10,AccEmTT_11,SoilTemp_1,SoilTemp_2,SoilTemp_3,SoilTemp_4,SoilTemp_5,SoilTemp_6,SoilTemp_7,SoilTemp_8,SoilTemp_9,SoilTemp_10,SoilTemp_11,PAWmm_1,PAWmm_2,PAWmm_3,PAWmm_4,PAWmm_5,PAWmm_6,PAWmm_7,PAWmm_8,PAWmm_9,PAWmm_10,PAWmm_11,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,Urea_1,Urea_2,Urea_3,Urea_4,Urea_5,Urea_6,Urea_7,Urea_8,Urea_9,Urea_10,Urea_11,OrganicC_1,OrganicC_2,OrganicC_3,OrganicC_4,OrganicC_5,OrganicC_6,OrganicC_7,OrganicC_8,OrganicC_9,OrganicC_10,OrganicC_11,NutrientStress_1,NutrientStress_2,NutrientStress_3,NutrientStress_4,NutrientStress_5,NutrientStress_6,NutrientStress_7,NutrientStress_8,NutrientStress_9,NutrientStress_10,NutrientStress_11,TempStress_1,TempStress_2,TempStress_3,TempStress_4,TempStress_5,TempStress_6,TempStress_7,TempStress_8,TempStress_9,TempStress_10,TempStress_11,WaterStress_1,WaterStress_2,WaterStress_3,WaterStress_4,WaterStress_5,WaterStress_6,WaterStress_7,WaterStress_8,WaterStress_9,WaterStress_10,WaterStress_11,Period_Start_Date_1,Period_Start_Date_2,Period_Start_Date_3,Period_Start_Date_4,Period_Start_Date_5,Period_Start_Date_6,Period_Start_Date_7,Period_Start_Date_8,Period_Start_Date_9,Period_Start_Date_10,Period_Start_Date_11,Period_End_Date_1,Period_End_Date_2,Period_End_Date_3,Period_End_Date_4,Period_End_Date_5,Period_End_Date_6,Period_End_Date_7,Period_End_Date_8,Period_End_Date_9,Period_End_Date_10,Period_End_Date_11,Period_Start_DOY_1,Period_Start_DOY_2,Period_Start_DOY_3,Period_Start_DOY_4,Period_Start_DOY_5,Period_Start_DOY_6,Period_Start_DOY_7,Period_Start_DOY_8,Period_Start_DOY_9,Period_Start_DOY_10,Period_Start_DOY_11,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Duration_10,Duration_11,Period_End_DOY_1,Period_End_DOY_2,Period_End_DOY_3,Period_End_DOY_4,Period_End_DOY_5,Period_End_DOY_6,Period_End_DOY_7,Period_End_DOY_8,Period_End_DOY_9,Period_End_DOY_10,Period_End_DOY_11
1,IAH1,Maize,2026-05-03,68,41.198676,-91.486202,1,2026,B_80,11,2026-01-01T12:00:00Z,2026-05-03,91,2026-08-02,2026-08-09,2026-12-31T12:00:00Z,Harvested at Maturity.,1.687642270487135,1.2449999996460974,3.703076863804689,NA,3.89121210891189,1.190000057220459,2.81333335240682,6.301200038194656,NA,1.8814285738127572,1.6230821927805266,1.687642270487135,1.2449999996460974,3.703076863804689,NA,3.89121210891189,1.190000057220459,2.81333335240682,6.301200038194656,NA,1.8814285738127572,1.6230821927805266,12.741463414052637,23.931249856948853,20.50307721358079,NA,22.197575742548164,26.38999938964844,23.456666734483505,21.304799957275392,NA,20.781428745814733,12.062465765704847,9.08292677828936,22.507500171661377,23.870769354013298,NA,27.581818089340672,29.489999771118164,31.308888965182835,30.057200088500977,NA,28.422857012067524,17.8426712218621,3.755447115688547,15.603750109672546,17.68000001173753,NA,21.946060628601998,25,25.751111136542427,25.20300006866455,NA,22.92714282444545,12.099417820655779,-1.572032546912267,8.700000047683716,11.489230669461763,NA,16.310303167863324,20.510000228881836,20.19333330790202,20.348800048828124,NA,17.43142863682338,6.356164419449458,3.335674165561864,9.209091201177404,10.669881916765881,NA,14.239635243766076,17,17.751111136542427,17.20667618991513,NA,14.974245744461484,8.01381066183088,3.335674165561864,9.209091201177404,10.669881916765881,NA,14.239635243766076,17,17.751111136542427,17.20667618991513,NA,14.974245744461484,8.01381066183088,0,0,138.70846491795643,NA,608.6164279622369,625.6164279622369,785.3764281911187,1215.5433329389969,NA,1320.3630531502274,1337.1680534554032,0.9898180036638892,12.498462241025901,15.833353940209859,NA,18.18084147900899,20.895787912495955,21.050733560549332,21.76027304021479,NA,21.54484550730552,14.657263158911466,357.276132017612,348.636109037852,349.65975466654913,NA,349.86706932896413,319.41312728159954,296.753466197023,279.6442921538122,NA,270.7929822889448,250.04802822318118,2.6630211878372734,149.39073966056944,79.05664439358046,NA,8.631267104226074,1.7688573471840974,1.7103866123329223,1.5915581714339104,NA,1.4733694904927908,1.2497449721948113,20.30967273965388,58.44202868928612,164.71305060600528,NA,215.6278172147631,183.0762523836663,160.743659802056,101.83973861507604,NA,69.66500870353555,67.81415979565756,1.212582476090338,35.7229202365034,0.4693242866584975,NA,2.699021394630884e-4,6.749229720505676e-10,1.583254490959824e-10,2.415725026710443e-12,NA,2.5466460670801497e-15,1.66773307976806e-17,79044.17071271881,79175.52063626063,79127.10302552309,NA,79054.73345549295,78995.54494472551,78980.04989852189,78928.22151922432,NA,78884.4197097789,79236.40890904164,0.3,1,0.9999999999999999,NA,0.9999999999999999,1,1,1,NA,1,0.3047945205479452,0.34227932431669117,1,1,NA,1,1,1,1,NA,1,0.6112426614808921,1,1,1,NA,1,1,1,1,NA,1,1,2026-01-01,2026-05-04,2026-05-12,NA,2026-05-25,2026-06-27,2026-06-28,2026-07-07,NA,2026-08-01,2026-08-08,2026-05-03,2026-05-11,2026-05-24,NA,2026-06-26,2026-06-27,2026-07-06,2026-07-31,NA,2026-08-07,2026-12-31,1,124,132,NA,145,178,179,188,NA,213,220,123,8,13,0,33,1,9,25,0,7,146,123,131,144,NA,177,178,187,212,NA,219,365
2,IAH2,Maize,2026-05-12,65,42.065975,-94.727586,2,2026,B_80,11,2026-01-01T12:00:00Z,2026-05-12,93,2026-08-13,2026-08-19,2026-12-31T12:00:00Z,Harvested at Maturity.,1.186060595777676,3.001249946653843,2.040769235445903,NA,4.048333285997312,7.550000190734863,5.1754543727094475,4.416538483248307,NA,1.9099999964237213,1.44419118162135,1.186060595777676,3.001249946653843,2.040769235445903,NA,4.048333285997312,7.550000190734863,5.1754543727094475,4.416538483248307,NA,1.9099999964237213,1.44419118162135,13.852272723660324,19.390000224113464,21.330769318800705,NA,22.41066665649414,23.490000406901043,22.777272744612258,21.193461564870983,NA,19.894999663035076,11.16095592695124,9.344772735892823,23.070000171661377,23.873076952420746,NA,29.03333346048991,31.046666463216145,28.65999984741211,29.56346159714919,NA,29.016666730244953,15.89955884262043,3.743257573325977,17.05750012397766,17.644615411758423,NA,23.253500080108644,25.62666670481364,23.362727251919832,24.349615317124588,NA,23.524166742960613,10.384191182825495,-1.8582575892408688,11.045000076293945,11.416153871096098,NA,17.473666699727378,20.206666946411133,18.065454656427555,19.135769037099983,NA,18.03166675567627,4.868823523030562,3.4679357051129553,10.155334774107404,10.64329763675602,NA,15.352351968661237,17.62666670481364,15.373112016008358,16.364030704201795,NA,15.540103819110659,6.897392729202072,3.4679357051129553,10.155334774107404,10.64329763675602,NA,15.352351968661237,17.62666670481364,15.373112016008358,16.364030704201795,NA,15.540103819110659,6.897392729202072,0,0,138.36286927782828,NA,598.9334283376653,651.8134284521062,820.9176606281982,1246.3824589374449,NA,1339.623081852109,1355.7980820428438,1.0979621078147483,15.579302681656792,15.596527266910579,NA,19.771781305825204,20.56688087610424,20.51177884498434,21.141463832883304,NA,21.188407867936597,12.982849589030423,348.1750540765381,334.80150406948246,335.69467883291395,NA,336.14651449297884,314.108725585084,313.2844072135923,274.99574553745435,NA,256.07558679070684,235.53668457601674,2.7012766505433925,135.58975252304364,70.61115415531093,NA,5.784330106733918,1.8102646830207538,1.7153724950185398,1.5268553879248112,NA,1.3865697305323523,0.8442190804093497,20.4482406896379,86.63867613262893,175.0801282904865,NA,221.78656636039025,183.67383199587013,156.19023226102837,92.12343226731655,NA,58.00169898360431,53.51115388207831,0.9854984243022825,22.589253253097823,0.2813255252067679,NA,1.2566737058149907e-4,3.025907880274016e-11,2.2203087202970415e-12,4.924001292204969e-15,NA,1.5897742533262998e-19,5.17147268556237e-22,79049.87471441741,79159.0026845945,79127.71501122425,NA,79034.79558399765,78975.39743347236,78959.26103583175,78908.30800121532,NA,78865.44862695962,79237.72737660591,0.3,1,0.9999999999999999,NA,0.9999999999999999,1,1,1,NA,1,0.3051470588235294,0.3407656943115095,1,1,NA,1,1,1,1,NA,1,0.5520351875745574,1,1,1,NA,1,1,1,1,NA,1,1,2026-01-01,2026-05-13,2026-05-21,NA,2026-06-03,2026-07-03,2026-07-06,2026-07-17,NA,2026-08-12,2026-08-18,2026-05-12,2026-05-20,2026-06-02,NA,2026-07-02,2026-07-05,2026-07-16,2026-08-11,NA,2026-08-17,2026-12-31,1,133,141,NA,154,184,187,198,NA,224,230,132,8,13,0,30,3,11,26,0,6,136,132,140,153,NA,183,186,197,223,NA,229,365
3,IAH3,Maize,2026-05-18,70,41.987423,-92.260153,3,2026,B_80,11,2026-01-01T12:00:00Z,2026-05-18,91,2026-08-17,2026-08-23,2026-12-31T12:00:00Z,Harvested at Maturity.,1.3178985470339009,3.7587500140070915,2.9945453933694144,NA,3.825000011920929,2.6433333555857343,6.24090913073583,3.3126922799990726,NA,1.729999969402949,1.4539393880122313,1.3178985470339009,3.7587500140070915,2.9945453933694144,NA,3.825000011920929,2.6433333555857343,6.24090913073583,3.3126922799990726,NA,1.729999969402949,1.4539393880122313,13.975797062334808,21.612499952316284,22.57454525340687,NA,22.76499989827474,23.613333384195965,22.290909333662555,20.303846029134895,NA,21.97500006357829,11.185909130356528,9.24297098039339,22.348750114440918,26.404545697298918,NA,28.812999979654947,28.19333330790202,28.683636578646574,29.758076961223896,NA,30.744999885559082,15.627878772264177,3.7254709903272274,16.2168750166893,20.085000124844637,NA,23.205333344141643,22.513333320617676,23.16090913252397,24.19173079270583,NA,24.735000133514404,10.048977272020597,-1.7920289997389351,10.084999918937683,13.76545455239036,NA,17.597666708628335,16.833333333333332,17.638181686401367,18.625384624187763,NA,18.725000381469727,4.470075771777016,3.549607512475514,9.523568741962976,12.579879703689345,NA,15.302697294207325,14.560298108524748,15.213993200046366,16.210468723884606,NA,16.738028060993443,6.599805455883641,3.549607512475514,9.523568741962976,12.579879703689345,NA,15.302697294207325,14.560298108524748,15.213993200046366,16.210468723884606,NA,16.738028060993443,6.599805455883641,0,0,138.3786767405828,NA,597.4595955668026,641.1404898923768,808.4944150928868,1229.9666019138865,NA,1330.394770279847,1346.5664334266396,1.050089998441962,14.960561371728282,17.074531062709386,NA,19.94616357056632,20.362188990493138,20.16985928948606,21.05021825174228,NA,21.010364357226436,12.427700209019703,350.87599453123636,345.5892957634959,342.4237731400857,NA,339.7167023924124,316.8743866501839,315.6874093585208,270.1039699621088,NA,232.11037359541385,212.83314416470859,2.685616533612441,143.72212045727707,72.20089255678451,NA,5.689491838984437,1.8331664904782667,1.7813515118864298,1.547719687172139,NA,1.4259566696260015,0.7490758909081758,20.34746391119549,74.15350157138248,173.8049449093543,NA,222.46687433381234,186.54541542949556,157.53465796481814,95.75187889093552,NA,65.03296203407038,57.98841755432246,0.9642484328703639,27.24792427158705,0.3813124299697117,NA,2.7426063145681004e-4,1.5980329607626615e-10,1.3315821484400815e-11,3.6935836416651494e-14,NA,1.3938335887861374e-18,4.7172278236268105e-21,79058.36130778403,79142.52536255008,79105.38933913106,NA,79019.28764829406,78961.8585384485,78947.76498691802,78899.42660261001,NA,78857.87173109126,79246.3654600322,0.3,1,1,NA,0.9999999999999999,1,1,1,NA,0.9999999999999998,0.3053030303030303,0.35659678889280394,1,1,NA,1,1,1,1,NA,1,0.5389204527910605,1,1,1,NA,1,1,1,1,NA,1,1,2026-01-01,2026-05-19,2026-05-27,NA,2026-06-07,2026-07-07,2026-07-10,2026-07-21,NA,2026-08-16,2026-08-22,2026-05-18,2026-05-26,2026-06-06,NA,2026-07-06,2026-07-09,2026-07-20,2026-08-15,NA,2026-08-21,2026-12-31,1,139,147,NA,158,188,191,202,NA,228,234,138,8,11,0,30,3,11,26,0,6,132,138,146,157,NA,187,190,201,227,NA,233,365
4,IAH4,Maize,2026-05-23,72,41.993989,-93.68842,4,2026,B_80,11,2026-01-01T12:00:00Z,2026-05-23,88,2026-08-19,2026-08-25,2026-12-31T12:00:00Z,Harvested at Maturity.,1.4562936971367864,1.9700000200952803,3.3689999520778655,NA,4.111379287109293,9.006666501363119,3.890000021457672,3.579999990485333,NA,2.2849999864896136,1.5182307596533344,1.4562936971367864,1.9700000200952803,3.3689999520778655,NA,4.111379287109293,9.006666501363119,3.890000021457672,3.579999990485333,NA,2.2849999864896136,1.5182307596533344,14.33622382237361,20.915713991437638,22.48099994659424,NA,23.266551839894262,22.703333536783855,22.255999755859374,20.77777781309905,NA,21.778333346048992,11.070923071641188,10.056503503811317,23.772857121058873,27.09799995422363,NA,29.679999713239997,29.106666564941406,28.957999992370606,29.97074070683232,NA,30.41166655222575,15.57153846690288,4.509755240518834,17.724285670689174,21.179500007629393,NA,24.03224122935328,23.638333638509113,23.39800000190735,24.490185101826984,NA,24.50583346684774,9.969000003307771,-1.0369930227736492,11.675714220319476,15.261000061035157,NA,18.38448274546656,18.170000712076824,17.83800001144409,19.00962949682165,NA,18.600000381469727,4.366461539712663,3.8761206451172736,10.628466209408217,13.419144790898429,NA,16.053175044841876,15.640348595386081,15.43166544239839,16.500029655084493,NA,16.511463441289795,6.523980415617586,3.8761206451172736,10.628466209408217,13.419144790898429,NA,16.053175044841876,15.640348595386081,15.43166544239839,16.500029655084493,NA,16.511463441289795,6.523980415617586,0,0,134.19144790898432,NA,599.7335242093988,646.654569995557,800.9712244195409,1246.472025106822,NA,1345.5408057545608,1361.5508050297683,1.9480443405098928,15.620446658765779,17.73937603182932,NA,20.667654262397928,20.576212108341196,20.400329377558755,21.381416228383845,NA,21.49544292626095,12.491885528113349,348.8433308150034,344.44082916628054,345.08361530153707,NA,340.936578835013,323.82743737570337,316.08092137067496,274.2824478054771,NA,234.95204778206866,217.22114924954013,2.6273451385617497,141.98072218252085,73.97203706504713,NA,5.660574511449189,1.798207449250825,1.7120089130370273,1.4818024147579072,NA,1.356942692140187,0.7236562215851514,20.5004048318674,75.05186977800611,172.8011309126083,NA,225.20719059422572,191.6044656108855,165.7368396769436,104.03878286744302,NA,71.10198396893078,62.077948922188824,0.9548962814690797,28.91757683522371,0.5174601626908145,NA,4.687068660135077e-4,1.5955915637332933e-10,1.434650815509474e-11,5.2832028010368265e-14,NA,1.2128269349145626e-18,4.2316573895358064e-21,79058.35155162873,79128.56077022123,79095.47648036177,NA,79003.18947454658,78943.19130528424,78929.54314983993,78877.82995949397,NA,78833.83452519789,79252.67757305445,0.3,1,0.9999999999999999,NA,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,NA,1,0.30538461538461537,0.3945829181296455,1,1,NA,1,1,1,1,NA,1,0.5280934084247757,1,1,1,NA,1,1,1,1,NA,1,1,2026-01-01,2026-05-24,2026-05-31,NA,2026-06-10,2026-07-09,2026-07-12,2026-07-22,NA,2026-08-18,2026-08-24,2026-05-23,2026-05-30,2026-06-09,NA,2026-07-08,2026-07-11,2026-07-21,2026-08-17,NA,2026-08-23,2026-12-31,1,144,151,NA,161,190,193,203,NA,230,236,143,7,10,0,29,3,10,27,0,6,130,143,150,160,NA,189,192,202,229,NA,235,365
